Leaf	Index	Depth
GO:0061080	2137	3
GO:0061152	2138	3
GO:0061196	2139	3
GO:0061360	2141	3
GO:0061373	2142	3
GO:0061374	2143	3
GO:0061375	2144	3
GO:0061376	2145	3
GO:0061377	2146	3
GO:0061378	2147	3
GO:0061379	2148	3
GO:0061380	2149	3
GO:0061524	2150	3
GO:0070121	2151	3
GO:0071109	2152	3
GO:0071728	2154	3
GO:0072013	2156	3
GO:0072053	2159	3
GO:0072054	2160	3
GO:0072057	2163	3
GO:0072058	2164	3
GO:0072360	2166	3
GO:0075009	2167	3
GO:0090102	2168	3
GO:0106336	2170	3
GO:1903700	2171	3
GO:1903701	2172	3
GO:1903866	2173	3
GO:1904818	2176	3
GO:1904819	2177	3
GO:1904866	2178	3
GO:1904888	2179	3
GO:1990045	2181	3
GO:0035069	2182	3
GO:0035070	2183	3
GO:0060032	2184	3
GO:0060641	2185	3
GO:1990384	2186	3
GO:0010150	2187	3
GO:0030448	2189	3
GO:0044180	2190	3
GO:0044181	2191	3
GO:0001832	2193	3
GO:0003248	2194	3
GO:0007446	2195	3
GO:0048630	2198	3
GO:0051124	2199	3
GO:0090214	2203	3
GO:0080117	2204	3
GO:0080191	2205	3
GO:0080192	2206	3
GO:0080193	2207	3
GO:0060362	2208	3
GO:0043056	2209	3
GO:0043057	2210	3
GO:0021844	2213	3
GO:0043052	2215	3
GO:0075043	2217	3
GO:0044278	2224	3
GO:0044486	2228	3
GO:0075025	2238	3
GO:0075035	2239	3
GO:0075039	2240	3
GO:0036377	2241	3
GO:0044399	2242	3
GO:0085030	2245	3
GO:0009624	2252	3
GO:0009625	2253	3
GO:0080027	2256	3
GO:0044838	2260	3
GO:0042696	2271	3
GO:0042697	2272	3
GO:0042703	2273	3
GO:0042637	2274	3
GO:0042638	2275	3
GO:0042639	2276	3
GO:0042640	2277	3
GO:0060207	2278	3
GO:0060208	2279	3
GO:0060209	2280	3
GO:0060210	2281	3
GO:0010617	2283	3
GO:0060086	2285	3
GO:0035882	2286	3
GO:0044849	2287	3
GO:0002931	2289	3
GO:0009271	2295	3
GO:0009413	2298	3
GO:0009635	2301	3
GO:1990911	2314	3
GO:0001964	2315	3
GO:0090648	2325	3
GO:0080167	2340	3
