Term	Index	Ancestors
GO:1902086	645	0 3 4 50 53 58 60 65 582 583 591 662 685 708 748 2966 2970 3079 3081 3243 3464
GO:0043414	646	0 3 4 54 58 65 683 738 3614
GO:0042168	647	0 3 4 48 56 58 65 559 666 685 748 2796 7515
GO:0043474	648	0 3 56
GO:0046148	649	0 3 56
GO:0046149	650	0 3 56
GO:0046283	651	0 3 56 65 725
GO:0051550	652	0 3 4 56 58 60 65 676 685 725 748
GO:0051552	653	0 3 56 65 725
GO:0051558	654	0 3 56
GO:0009850	655	0 3 4 19 57 58 412 2506
GO:0016131	656	0 3 19 57 59 65 412 700 748 750 2506 3504 3664
GO:0016486	657	0 3 4 19 48 57 58 59 65 412 552 559 701 738 2506 2754 2778 3510 3520 8587 15160
GO:0034754	658	0 3 4 19 57 58 412 2506
GO:0042403	659	0 3 4 19 48 57 58 65 412 559 665 666 748 750 2506 3291
GO:0001887	660	0 3 4 58
GO:0006081	661	0 3 4 58 65
GO:0006082	662	0 3 4 58 60 65
GO:0006091	663	0 3 4 58
GO:0006413	664	0 3 4 58
GO:0006575	665	0 3 4 48 58 65 559
